landmark_id,class_id
1,0
7,1
9,2
11,3
12,4
17,5
22,6
23,7
24,8
27,9
29,10
30,11
32,12
34,13
36,14
37,15
41,16
43,17
48,18
50,19
51,20
56,21
58,22
60,23
63,24
65,25
66,26
72,27
79,28
81,29
82,30
83,31
84,32
87,33
89,34
90,35
99,36
100,37
101,38
103,39
104,40
110,41
111,42
115,43
117,44
118,45
123,46
124,47
131,48
134,49
135,50
136,51
139,52
141,53
143,54
145,55
146,56
149,57
151,58
155,59
166,60
168,61
172,62
173,63
174,64
175,65
177,66
178,67
183,68
185,69
187,70
189,71
191,72
192,73
199,74
202,75
209,76
212,77
213,78
215,79
216,80
219,81
221,82
223,83
225,84
226,85
228,86
230,87
232,88
240,89
242,90
243,91
244,92
245,93
247,94
250,95
259,96
260,97
262,98
263,99
264,100
270,101
272,102
274,103
277,104
278,105
283,106
285,107
287,108
289,109
294,110
297,111
300,112
304,113
309,114
310,115
316,116
318,117
320,118
324,119
327,120
331,121
332,122
333,123
337,124
341,125
343,126
344,127
347,128
350,129
352,130
353,131
354,132
355,133
356,134
357,135
361,136
363,137
366,138
374,139
375,140
379,141
380,142
385,143
386,144
389,145
390,146
392,147
393,148
394,149
397,150
399,151
403,152
406,153
417,154
423,155
434,156
443,157
446,158
448,159
450,160
452,161
453,162
454,163
455,164
456,165
458,166
460,167
461,168
465,169
466,170
467,171
468,172
471,173
472,174
474,175
475,176
478,177
481,178
485,179
489,180
491,181
493,182
494,183
497,184
499,185
501,186
504,187
507,188
508,189
510,190
514,191
517,192
535,193
539,194
540,195
541,196
543,197
544,198
545,199
549,200
550,201
552,202
553,203
555,204
559,205
562,206
568,207
569,208
577,209
578,210
581,211
582,212
585,213
586,214
589,215
595,216
596,217
599,218
604,219
606,220
607,221
609,222
610,223
611,224
614,225
615,226
619,227
622,228
624,229
625,230
629,231
633,232
635,233
637,234
638,235
641,236
643,237
644,238
645,239
646,240
650,241
655,242
656,243
657,244
658,245
663,246
666,247
669,248
677,249
678,250
679,251
680,252
681,253
683,254
685,255
686,256
687,257
689,258
690,259
691,260
692,261
693,262
694,263
696,264
697,265
699,266
700,267
704,268
710,269
712,270
713,271
714,272
715,273
716,274
717,275
720,276
723,277
724,278
731,279
734,280
735,281
736,282
740,283
742,284
744,285
745,286
751,287
752,288
756,289
758,290
760,291
761,292
762,293
763,294
764,295
766,296
770,297
776,298
779,299
782,300
784,301
785,302
790,303
793,304
795,305
797,306
799,307
802,308
804,309
806,310
807,311
809,312
813,313
815,314
816,315
817,316
822,317
824,318
826,319
832,320
833,321
835,322
836,323
837,324
844,325
846,326
847,327
850,328
854,329
861,330
862,331
863,332
868,333
870,334
872,335
873,336
875,337
881,338
882,339
890,340
891,341
894,342
897,343
899,344
900,345
901,346
902,347
903,348
905,349
907,350
909,351
917,352
918,353
925,354
930,355
931,356
935,357
936,358
937,359
944,360
949,361
950,362
951,363
952,364
953,365
954,366
955,367
956,368
961,369
962,370
964,371
966,372
967,373
968,374
969,375
972,376
975,377
978,378
979,379
981,380
984,381
985,382
986,383
991,384
993,385
995,386
997,387
998,388
1001,389
1002,390
1003,391
1009,392
1012,393
1015,394
1018,395
1019,396
1025,397
1028,398
1029,399
1030,400
1031,401
1032,402
1035,403
1036,404
1041,405
1043,406
1046,407
1047,408
1049,409
1050,410
1052,411
1055,412
1056,413
1060,414
1061,415
1062,416
1064,417
1067,418
1068,419
1069,420
1070,421
1071,422
1073,423
1074,424
1076,425
1079,426
1083,427
1084,428
1085,429
1088,430
1090,431
1091,432
1097,433
1098,434
1099,435
1101,436
1103,437
1104,438
1106,439
1119,440
1121,441
1122,442
1123,443
1125,444
1127,445
1129,446
1131,447
1132,448
1137,449
1138,450
1140,451
1141,452
1142,453
1145,454
1146,455
1154,456
1155,457
1159,458
1163,459
1164,460
1166,461
1171,462
1173,463
1174,464
1186,465
1188,466
1189,467
1192,468
1194,469
1196,470
1198,471
1200,472
1201,473
1202,474
1203,475
1204,476
1206,477
1207,478
1210,479
1217,480
1218,481
1219,482
1226,483
1227,484
1229,485
1231,486
1233,487
1234,488
1235,489
1236,490
1238,491
1240,492
1241,493
1242,494
1243,495
1245,496
1249,497
1250,498
1254,499
1256,500
1257,501
1258,502
1262,503
1263,504
1265,505
1268,506
1269,507
1275,508
1280,509
1284,510
1285,511
1287,512
1288,513
1289,514
1293,515
1294,516
1302,517
1308,518
1309,519
1311,520
1313,521
1316,522
1318,523
1322,524
1323,525
1324,526
1325,527
1330,528
1333,529
1334,530
1339,531
1340,532
1345,533
1346,534
1347,535
1348,536
1349,537
1350,538
1351,539
1356,540
1362,541
1363,542
1368,543
1369,544
1376,545
1382,546
1386,547
1388,548
1389,549
1391,550
1392,551
1393,552
1395,553
1399,554
1401,555
1403,556
1404,557
1405,558
1413,559
1414,560
1415,561
1422,562
1423,563
1427,564
1428,565
1429,566
1430,567
1431,568
1433,569
1436,570
1442,571
1443,572
1444,573
1447,574
1449,575
1452,576
1453,577
1456,578
1459,579
1461,580
1465,581
1466,582
1468,583
1469,584
1472,585
1475,586
1477,587
1485,588
1487,589
1490,590
1491,591
1496,592
1497,593
1502,594
1503,595
1505,596
1510,597
1515,598
1519,599
1520,600
1523,601
1524,602
1525,603
1528,604
1530,605
1536,606
1543,607
1544,608
1546,609
1548,610
1549,611
1550,612
1554,613
1559,614
1563,615
1565,616
1567,617
1568,618
1569,619
1570,620
1572,621
1574,622
1575,623
1576,624
1582,625
1585,626
1592,627
1593,628
1596,629
1597,630
1599,631
1600,632
1605,633
1607,634
1608,635
1610,636
1612,637
1613,638
1614,639
1618,640
1623,641
1625,642
1629,643
1630,644
1632,645
1635,646
1639,647
1640,648
1642,649
1643,650
1644,651
1648,652
1650,653
1655,654
1656,655
1658,656
1660,657
1661,658
1662,659
1664,660
1666,661
1667,662
1668,663
1669,664
1672,665
1677,666
1679,667
1684,668
1685,669
1686,670
1687,671
1689,672
1693,673
1696,674
1699,675
1702,676
1706,677
1707,678
1709,679
1710,680
1712,681
1714,682
1716,683
1727,684
1730,685
1736,686
1739,687
1743,688
1747,689
1748,690
1749,691
1750,692
1751,693
1752,694
1753,695
1757,696
1758,697
1761,698
1762,699
1765,700
1768,701
1770,702
1771,703
1773,704
1774,705
1776,706
1778,707
1780,708
1785,709
1788,710
1791,711
1798,712
1800,713
1801,714
1803,715
1804,716
1809,717
1813,718
1820,719
1822,720
1823,721
1825,722
1829,723
1830,724
1836,725
1838,726
1839,727
1840,728
1842,729
1843,730
1847,731
1848,732
1854,733
1857,734
1864,735
1868,736
1874,737
1875,738
1877,739
1884,740
1888,741
1890,742
1892,743
1896,744
1907,745
1916,746
1921,747
1922,748
1923,749
1924,750
1926,751
1927,752
1929,753
1930,754
1931,755
1933,756
1939,757
1941,758
1942,759
1943,760
1946,761
1949,762
1952,763
1954,764
1958,765
1959,766
1960,767
1964,768
1966,769
1967,770
1972,771
1976,772
1977,773
1979,774
1981,775
1982,776
1983,777
1987,778
1993,779
1994,780
1996,781
2003,782
2004,783
2005,784
2011,785
2012,786
2015,787
2016,788
2019,789
2020,790
2021,791
2026,792
2029,793
2030,794
2032,795
2037,796
2042,797
2046,798
2047,799
2049,800
2052,801
2053,802
2054,803
2055,804
2056,805
2058,806
2065,807
2070,808
2074,809
2075,810
2079,811
2085,812
2086,813
2089,814
2093,815
2095,816
2096,817
2097,818
2098,819
2101,820
2105,821
2106,822
2107,823
2117,824
2118,825
2122,826
2123,827
2125,828
2128,829
2129,830
2133,831
2134,832
2141,833
2145,834
2147,835
2148,836
2149,837
2150,838
2155,839
2157,840
2162,841
2163,842
2164,843
2165,844
2166,845
2167,846
2169,847
2172,848
2174,849
2177,850
2178,851
2180,852
2182,853
2183,854
2184,855
2185,856
2186,857
2187,858
2188,859
2189,860
2191,861
2196,862
2197,863
2198,864
2199,865
2201,866
2202,867
2203,868
2205,869
2207,870
2208,871
2209,872
2215,873
2217,874
2220,875
2221,876
2223,877
2224,878
2227,879
2230,880
2231,881
2232,882
2234,883
2235,884
2239,885
2242,886
2246,887
2251,888
2252,889
2254,890
2257,891
2260,892
2261,893
2262,894
2264,895
2273,896
2278,897
2279,898
2286,899
2287,900
2289,901
2291,902
2292,903
2293,904
2297,905
2298,906
2299,907
2302,908
2303,909
2310,910
2311,911
2312,912
2316,913
2317,914
2322,915
2324,916
2326,917
2327,918
2334,919
2335,920
2336,921
2338,922
2339,923
2340,924
2342,925
2343,926
2344,927
2349,928
2353,929
2354,930
2361,931
2364,932
2365,933
2366,934
2372,935
2373,936
2376,937
2377,938
2382,939
2383,940
2384,941
2389,942
2390,943
2392,944
2394,945
2399,946
2406,947
2408,948
2414,949
2415,950
2416,951
2417,952
2421,953
2422,954
2423,955
2427,956
2430,957
2433,958
2434,959
2435,960
2437,961
2438,962
2439,963
2440,964
2445,965
2448,966
2449,967
2450,968
2451,969
2458,970
2462,971
2464,972
2468,973
2471,974
2473,975
2474,976
2475,977
2476,978
2483,979
2484,980
2485,981
2486,982
2487,983
2488,984
2489,985
2490,986
2494,987
2495,988
2497,989
2503,990
2510,991
2514,992
2516,993
2517,994
2518,995
2519,996
2523,997
2526,998
2527,999
2528,1000
2530,1001
2532,1002
2533,1003
2535,1004
2537,1005
2542,1006
2544,1007
2546,1008
2547,1009
2551,1010
2552,1011
2554,1012
2557,1013
2559,1014
2560,1015
